category,month,total_sales,total_profit
Furniture,Sep,222036.0,38568.0
Furniture,Oct,194445.0,35657.0
Furniture,Mar,238940.0,43017.0
Office Supplies,Feb,558201.0,99423.0
Technology,Jul,204128.0,36377.0
Office Supplies,Dec,661466.0,117603.0
Furniture,Aug,195467.0,34740.0
Office Supplies,Jul,537651.0,96847.0
Office Supplies,Jun,490824.0,88648.0
Technology,Sep,170406.0,29913.0
Technology,Dec,228984.0,39914.0
Technology,Jun,230172.0,42634.0
Office Supplies,Jan,634040.0,114872.0
Technology,Aug,193517.0,33351.0
Technology,Oct,251598.0,41802.0
Technology,Jan,232091.0,43723.0
Office Supplies,Mar,595742.0,101026.0
Office Supplies,Aug,548185.0,100600.0
Office Supplies,Sep,557001.0,95081.0
Office Supplies,Oct,595741.0,102144.0
Furniture,Nov,194195.0,33053.0
Office Supplies,Nov,539308.0,92224.0
Technology,May,207268.0,35010.0
Furniture,Feb,156123.0,29148.0
Office Supplies,Apr,527798.0,94470.0
Furniture,Jan,187147.0,32945.0
Furniture,Jun,186207.0,33723.0
Technology,Nov,244894.0,42956.0
Technology,Mar,204825.0,36230.0
Technology,Feb,185671.0,30576.0
Furniture,Apr,219038.0,39194.0
Technology,Apr,217833.0,37765.0
Furniture,Dec,198035.0,35463.0
Office Supplies,May,570423.0,102041.0
Furniture,Jul,165859.0,29864.0
Furniture,May,199272.0,37432.0
