region,month_name,total_sales
South,Mar,206925.0
South,Jan,183206.0
East,Apr,292305.0
East,Nov,300146.0
Central,May,246352.0
East,Mar,271296.0
Central,Oct,223667.0
South,Nov,160940.0
Central,Apr,240935.0
South,Jul,135211.0
Central,Mar,266119.0
East,Jan,288043.0
West,Apr,280382.0
East,Sep,263778.0
South,Sep,183101.0
West,Aug,268411.0
Central,Nov,238277.0
South,Feb,197054.0
West,Mar,301344.0
South,Dec,204168.0
East,Feb,262300.0
West,Dec,347904.0
West,Sep,277073.0
Central,Sep,232268.0
South,Aug,183783.0
East,Jun,236202.0
West,Jan,341254.0
South,Apr,160438.0
Central,Dec,246660.0
West,Oct,310658.0
Central,Jun,227776.0
Central,Aug,206538.0
East,Oct,319524.0
West,Jun,278594.0
West,Jul,284818.0
West,Nov,284935.0
East,Dec,295107.0
South,Jun,172591.0
East,Jul,268896.0
East,May,262322.0
South,Oct,194770.0
Central,Jul,224425.0
Central,Jan,246728.0
East,Aug,284414.0
Central,Feb,229087.0
South,May,184661.0
West,May,290477.0
West,Feb,225089.0
