segment,month_name,total_sales,total_profit
Corporate,Oct,325153.0,55370.0
Home Office,Jul,184712.0,32043.0
Consumer,Jul,473319.0,84268.0
Corporate,Mar,292885.0,50900.0
Consumer,Nov,454284.0,78543.0
Home Office,Aug,156193.0,26989.0
Consumer,Aug,514017.0,94557.0
Corporate,Aug,272564.0,48092.0
Home Office,Apr,173644.0,31218.0
Consumer,Jun,472619.0,84645.0
Consumer,May,495780.0,87577.0
Home Office,Sep,152491.0,25365.0
Corporate,Jul,253505.0,47321.0
Corporate,Dec,368981.0,65198.0
Corporate,May,309046.0,55425.0
Corporate,Apr,301510.0,52584.0
Home Office,May,175331.0,32127.0
Home Office,Jan,197870.0,35825.0
Home Office,Jun,159267.0,30004.0
Consumer,Sep,517514.0,89074.0
Home Office,Mar,199464.0,32673.0
Consumer,Apr,496462.0,89145.0
Home Office,Nov,193997.0,33860.0
Home Office,Oct,199272.0,34698.0
Consumer,Dec,542392.0,98042.0
Corporate,Nov,333772.0,56477.0
Corporate,Sep,284113.0,50029.0
Corporate,Feb,292434.0,49911.0
Home Office,Feb,162942.0,29788.0
Consumer,Mar,551657.0,97532.0
Consumer,Oct,522498.0,90331.0
Corporate,Jan,356173.0,63177.0
Consumer,Jan,502963.0,93143.0
Corporate,Jun,281751.0,51318.0
Home Office,Dec,182335.0,30555.0
Consumer,Feb,456752.0,82064.0
