category,month,total_sales,total_profit
Furniture,Sep,222756.0,38698.0
Furniture,Oct,194793.0,35711.0
Furniture,Mar,239304.0,43061.0
Office Supplies,Feb,559869.0,99672.0
Technology,Jul,205861.0,36568.0
Office Supplies,Dec,665963.0,118260.0
Furniture,Aug,197325.0,35081.0
Office Supplies,Jul,539816.0,97200.0
Office Supplies,Jun,494316.0,89111.0
Technology,Sep,171922.0,30271.0
Technology,Dec,229625.0,40048.0
Technology,Jun,231606.0,42876.0
Office Supplies,Jan,636453.0,115250.0
Technology,Aug,194272.0,33463.0
Technology,Oct,252467.0,41970.0
Technology,Jan,232263.0,43735.0
Office Supplies,Mar,599067.0,101670.0
Office Supplies,Aug,551177.0,101094.0
Office Supplies,Sep,559440.0,95499.0
Office Supplies,Oct,599663.0,102718.0
Furniture,Nov,194687.0,33175.0
Office Supplies,Nov,542042.0,92691.0
Technology,May,207846.0,35101.0
Furniture,Feb,166312.0,31443.0
Office Supplies,Apr,532272.0,95393.0
Furniture,Jan,188290.0,33160.0
Furniture,Jun,187715.0,33980.0
Technology,Nov,245324.0,43014.0
Technology,Mar,205635.0,36374.0
Technology,Feb,185947.0,30648.0
Furniture,Apr,221511.0,39789.0
Technology,Apr,217833.0,37765.0
Furniture,Dec,198120.0,35487.0
Office Supplies,May,572728.0,102517.0
Furniture,Jul,165859.0,29864.0
Furniture,May,199583.0,37511.0
