segment,month_name,total_sales,total_profit
Corporate,Oct,320025.0,54513.0
Home Office,Jul,183991.0,31947.0
Consumer,Jul,466781.0,82978.0
Corporate,Mar,287284.0,49866.0
Consumer,Nov,449423.0,77812.0
Home Office,Aug,153095.0,26471.0
Consumer,Aug,503181.0,93022.0
Corporate,Aug,269509.0,47630.0
Home Office,Apr,171997.0,30912.0
Consumer,Jun,464383.0,83294.0
Consumer,May,489845.0,86139.0
Home Office,Sep,150157.0,24843.0
Corporate,Jul,249674.0,46823.0
Corporate,Dec,366061.0,64608.0
Corporate,May,306773.0,55111.0
Corporate,Apr,297906.0,51955.0
Home Office,May,173360.0,31820.0
Home Office,Jan,194877.0,35470.0
Home Office,Jun,157798.0,29824.0
Consumer,Sep,511337.0,88009.0
Home Office,Mar,197026.0,32284.0
Consumer,Apr,485761.0,87070.0
Home Office,Nov,192964.0,33622.0
Home Office,Oct,197174.0,34313.0
Consumer,Dec,535354.0,96777.0
Corporate,Nov,331802.0,56006.0
Corporate,Sep,278508.0,48836.0
Corporate,Feb,276073.0,46217.0
Home Office,Feb,162193.0,29674.0
Consumer,Mar,545549.0,96556.0
Consumer,Oct,505887.0,88333.0
Corporate,Jan,352055.0,62437.0
Consumer,Jan,495432.0,91972.0
Corporate,Jun,274311.0,49494.0
Home Office,Dec,181050.0,30356.0
Consumer,Feb,442974.0,79134.0
