segment,month_name,total_sales,total_profit
Corporate,Oct,322117.0,55028.0
Home Office,Jul,184712.0,32043.0
Consumer,Jul,471560.0,83938.0
Corporate,Mar,291875.0,50721.0
Consumer,Nov,451560.0,78120.0
Home Office,Aug,155364.0,26832.0
Consumer,Aug,510364.0,93948.0
Corporate,Aug,271441.0,47911.0
Home Office,Apr,173147.0,31134.0
Consumer,Jun,467851.0,83931.0
Consumer,May,493743.0,87119.0
Home Office,Sep,152491.0,25365.0
Corporate,Jul,251366.0,47107.0
Corporate,Dec,367448.0,64935.0
Corporate,May,308501.0,55361.0
Corporate,Apr,299453.0,52181.0
Home Office,May,174719.0,32003.0
Home Office,Jan,197443.0,35700.0
Home Office,Jun,159267.0,30004.0
Consumer,Sep,514726.0,88677.0
Home Office,Mar,198608.0,32541.0
Consumer,Apr,492069.0,88114.0
Home Office,Nov,193500.0,33728.0
Home Office,Oct,199080.0,34655.0
Consumer,Dec,538953.0,97530.0
Corporate,Nov,333337.0,56385.0
Corporate,Sep,282226.0,49520.0
Corporate,Feb,292243.0,49888.0
Home Office,Feb,162549.0,29732.0
Consumer,Mar,549024.0,97011.0
Consumer,Oct,520587.0,89920.0
Corporate,Jan,355762.0,63104.0
Consumer,Jan,500073.0,92736.0
Corporate,Jun,280085.0,51070.0
Home Office,Dec,182084.0,30515.0
Consumer,Feb,445203.0,79527.0
