region,month_name,total_sales
South,Mar,205728.0
South,Jan,182400.0
East,Apr,291428.0
East,Nov,299162.0
Central,May,245786.0
East,Mar,271198.0
Central,Oct,223667.0
South,Nov,160834.0
Central,Apr,240349.0
South,Jul,134788.0
Central,Mar,266119.0
East,Jan,287764.0
West,Apr,280038.0
East,Sep,263347.0
South,Sep,182585.0
West,Aug,268411.0
Central,Nov,238277.0
South,Feb,196999.0
West,Mar,300961.0
South,Dec,204168.0
East,Feb,261815.0
West,Dec,347904.0
West,Sep,276711.0
Central,Sep,231475.0
South,Aug,183783.0
East,Jun,236202.0
West,Jan,340774.0
South,Apr,159801.0
Central,Dec,246660.0
West,Oct,310658.0
Central,Jun,227776.0
Central,Aug,206538.0
East,Oct,318923.0
West,Jun,277916.0
West,Jul,283804.0
West,Nov,283780.0
East,Dec,294976.0
South,Jun,171743.0
East,Jul,268730.0
East,May,261660.0
South,Oct,193675.0
Central,Jul,224214.0
Central,Jan,246068.0
East,Aug,284042.0
Central,Feb,228873.0
South,May,184661.0
West,May,288050.0
West,Feb,224441.0
