state,total_sales,total_customers
Alabama,82365.0,40
Arizona,319301.0,102
Arkansas,68245.0,9
California,2530306.0,803
Colorado,283439.0,102
Connecticut,114663.0,41
Delaware,93254.0,30
District of Columbia,8663.0,3
Florida,485418.0,141
Georgia,167527.0,73
Illinois,620995.0,208
Indiana,153169.0,54
Iowa,20149.0,12
Kansas,36048.0,5
Kentucky,292999.0,76
Louisiana,60248.0,25
Maryland,29756.0,10
Massachusetts,146022.0,50
Michigan,237194.0,79
Minnesota,203214.0,60
Mississippi,77725.0,23
Missouri,83625.0,35
Nebraska,6001.0,5
Nevada,27890.0,8
New Hampshire,27495.0,9
New Jersey,185305.0,55
New Mexico,25028.0,18
New York,1257900.0,411
North Carolina,390498.0,156
Ohio,584630.0,192
Oklahoma,45979.0,14
Oregon,45452.0,12
Pennsylvania,653128.0,234
Rhode Island,64919.0,21
South Dakota,2937.0,3
Tennessee,180054.0,59
Texas,1220521.0,378
Utah,60117.0,23
Virginia,257900.0,68
Washington,589845.0,200
Wisconsin,91028.0,45
