region,month_name,total_sales
South,Mar,204413.0
South,Jan,181973.0
East,Apr,287166.0
East,Nov,298594.0
Central,May,245277.0
East,Mar,270211.0
Central,Oct,222672.0
South,Nov,159263.0
Central,Apr,240349.0
South,Jul,134788.0
Central,Mar,264648.0
East,Jan,287592.0
West,Apr,277353.0
East,Sep,261775.0
South,Sep,181301.0
West,Aug,266779.0
Central,Nov,237560.0
South,Feb,187021.0
West,Mar,300235.0
South,Dec,202671.0
East,Feb,260765.0
West,Dec,344939.0
West,Sep,275510.0
Central,Sep,230857.0
South,Aug,183009.0
East,Jun,234012.0
West,Jan,339129.0
South,Apr,159801.0
Central,Dec,245899.0
West,Oct,308255.0
Central,Jun,226161.0
Central,Aug,206053.0
East,Oct,318153.0
West,Jun,277048.0
West,Jul,283213.0
West,Nov,282980.0
East,Dec,294976.0
South,Jun,169982.0
East,Jul,267548.0
East,May,261198.0
South,Oct,192704.0
Central,Jul,222089.0
Central,Jan,244584.0
East,Aug,281328.0
Central,Feb,228657.0
South,May,184350.0
West,May,286138.0
West,Feb,223552.0
